experience_level,employment_type,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_position,job_scope,company_region,abroad
SE,FT,166500,US,100,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,163200,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,345000,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,234700,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,100000,TR,100,US,S,STAFF,ML/AI ENGINEER,Americas,True
EN,FT,40000,NG,0,NG,S,STAFF,DATA ANALYST,Africa,False
SE,FT,210000,US,100,US,L,STAFF,DATA ENGINEER,Americas,False
MI,FT,90000,SA,100,SA,M,STAFF,ML/AI ENGINEER,Asia,False
MI,FT,59382,DE,50,DE,L,STAFF,DATA ANALYST,Europe,False
SE,FT,90000,US,0,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,84000,US,0,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
EX,FT,204500,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
EX,FT,130000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,210000,US,100,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,186600,US,100,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,119800,US,100,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,192000,US,100,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,151000,US,100,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,169000,US,0,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,204500,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,142200,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,210000,US,0,US,M,STAFF,BUSINESS INTELLIGENCE,Americas,False
SE,FT,170000,US,0,US,M,STAFF,BUSINESS INTELLIGENCE,Americas,False
SE,FT,221300,US,0,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,147500,US,0,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,189750,US,0,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,131100,US,0,US,M,STAFF,DATA SCIENTIST,Americas,False
MI,FT,128000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
MI,FT,81500,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
EN,FT,80000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
EN,FT,52500,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
MI,FT,72000,CO,100,CO,M,STAFF,DATA ENGINEER,Americas,False
MI,FT,60000,CO,100,CO,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,180000,US,100,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,81900,US,0,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,210000,US,100,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,159090,US,100,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,175000,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,94400,US,100,US,M,STAFF,DATA ANALYST,Americas,False
MI,FT,90000,US,100,US,M,STAFF,DATA ARCHITECT,Americas,False
MI,FT,190000,CA,100,CA,M,STAFF,DATA SCIENTIST,Americas,False
MI,FT,125000,CA,100,CA,M,STAFF,DATA SCIENTIST,Americas,False
EN,FT,130002,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
EN,FT,71908,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
MI,FT,167500,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
MI,FT,106500,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
MI,FT,81838,AU,100,AU,L,STAFF,ML/AI ENGINEER,Oceania,False
EN,FT,60000,US,100,US,L,STAFF,DATA ANALYST,Americas,False
SE,FT,150000,US,0,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,230000,US,100,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,255000,US,0,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,116990,US,100,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,82920,US,100,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,78000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,159000,US,100,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,105000,US,100,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
MI,FT,155000,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
MI,FT,102000,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,374000,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,197500,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,240000,US,0,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,187000,US,0,US,M,STAFF,DATA SCIENTIST,Americas,False
MI,FT,20000,NG,100,US,L,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,True
SE,FT,210000,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
MI,FT,95000,US,0,US,M,STAFF,OTHERS,Americas,False
MI,FT,70000,US,0,US,M,STAFF,OTHERS,Americas,False
SE,FT,195000,US,100,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,119000,US,100,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,216000,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,184000,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,160000,US,100,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,266450,US,0,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,177700,US,0,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,55720,US,100,US,M,STAFF,OTHERS,Americas,False
SE,FT,50700,US,100,US,M,STAFF,OTHERS,Americas,False
MI,PT,56000,GH,100,US,M,STAFF,DATA ANALYST,Americas,True
SE,FT,196000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,121000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
MI,FT,135000,US,0,US,M,STAFF,DATA ARCHITECT,Americas,False
MI,FT,115000,US,0,US,M,STAFF,DATA ARCHITECT,Americas,False
SE,FT,302000,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,189000,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
MI,FT,55000,US,100,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,150000,US,100,US,M,STAFF,BUSINESS INTELLIGENCE,Americas,False
SE,FT,93000,US,100,US,M,STAFF,BUSINESS INTELLIGENCE,Americas,False
SE,FT,190000,US,100,US,L,MANAGER,DATA SCIENTIST,Americas,False
SE,FT,46565,PL,100,PL,L,STAFF,DATA ENGINEER,Europe,False
SE,FT,204500,US,0,US,M,STAFF,OTHERS,Americas,False
SE,FT,126400,US,0,US,M,STAFF,OTHERS,Americas,False
SE,FT,139600,US,0,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,85700,US,0,US,M,STAFF,DATA ANALYST,Americas,False
MI,FT,100000,US,100,US,M,STAFF,DATA SCIENTIST,Americas,False
MI,FT,79350,US,0,US,M,STAFF,DATA SCIENTIST,Americas,False
MI,FT,73824,GB,0,GB,M,MANAGER,OTHERS,Europe,False
MI,FT,67672,GB,0,GB,M,MANAGER,OTHERS,Europe,False
SE,FT,174000,US,100,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,134000,US,100,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
MI,FT,155000,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
MI,FT,125000,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,194400,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,132192,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,273400,US,100,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,182200,US,100,US,M,STAFF,ML/AI ENGINEER,Americas,False
MI,FT,165000,AU,0,AU,M,STAFF,DATA ANALYST,Oceania,False
MI,FT,142500,AU,0,AU,M,STAFF,DATA ANALYST,Oceania,False
SE,FT,213654,GB,0,GB,M,STAFF,DATA SCIENTIST,Europe,False
SE,FT,142436,GB,0,GB,M,STAFF,DATA SCIENTIST,Europe,False
SE,FT,124230,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,68637,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
MI,FT,200000,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
MI,FT,100000,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,95000,US,100,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,287700,US,0,US,L,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,148000,US,0,US,L,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,227240,US,100,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,197600,US,100,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,161000,US,100,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,178500,US,0,US,M,STAFF,DATA SCIENTIST,Americas,False
MI,FT,146100,GB,0,GB,M,STAFF,ANALYTICS ENGINEER,Europe,False
MI,FT,112400,GB,0,GB,M,STAFF,ANALYTICS ENGINEER,Europe,False
MI,FT,86128,GB,0,GB,M,STAFF,DATA ARCHITECT,Europe,False
MI,FT,79976,GB,0,GB,M,STAFF,DATA ARCHITECT,Europe,False
SE,FT,331640,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,267720,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,285000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,205000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
EN,FT,90000,IN,100,US,M,STAFF,ML/AI ENGINEER,Americas,True
MI,FT,237400,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
MI,FT,158200,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,192000,US,100,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,164000,US,100,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,150000,US,0,US,M,STAFF,BUSINESS INTELLIGENCE,Americas,False
SE,FT,141000,US,0,US,M,STAFF,BUSINESS INTELLIGENCE,Americas,False
SE,FT,267000,US,0,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,205000,US,0,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,147100,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,115000,US,100,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,67672,GB,0,GB,M,STAFF,DATA ANALYST,Europe,False
SE,FT,141000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
EN,FT,177177,GB,100,GB,L,STAFF,DATA ENGINEER,Europe,False
SE,FT,240000,US,0,US,S,STAFF,DATA SCIENTIST,Americas,False
SE,FT,142000,US,0,US,S,STAFF,DATA SCIENTIST,Americas,False
MI,CT,180000,US,100,US,S,STAFF,ML/AI ENGINEER,Americas,False
MI,CT,105000,US,100,US,S,STAFF,ML/AI ENGINEER,Americas,False
EN,FT,80000,US,100,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,268000,US,100,US,M,STAFF,ML/AI ENGINEER,Americas,False
MI,FT,144628,US,0,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
MI,FT,115702,US,0,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,144000,US,100,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,132000,US,100,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,106400,GB,0,GB,M,STAFF,DATA ANALYST,Europe,False
SE,FT,81800,GB,0,GB,M,STAFF,DATA ANALYST,Europe,False
SE,FT,134200,GB,0,GB,M,STAFF,DATA ANALYST,Europe,False
SE,FT,103200,GB,0,GB,M,STAFF,DATA ANALYST,Europe,False
SE,FT,93500,US,100,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,208200,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,151200,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,270000,US,0,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,140000,GB,100,GB,M,STAFF,DATA ANALYST,Europe,False
